team_a_name,team_b_name,team_a_wins,team_a_losses,team_b_wins,team_b_losses
scarf_latios,team_1,2,1,1,2
team_0,team_1,3,0,0,3
iron_crown_specs,team_10,1,2,2,1
iron_crown_specs,team_11,2,1,1,2
iron_crown_specs,team_12,3,0,0,3
iron_crown_specs,team_13,2,1,1,2
iron_crown_specs,team_14,2,1,1,2
iron_crown_specs,team_15,2,1,1,2
iron_crown_specs,team_2,1,2,2,1
iron_crown_specs,team_3,1,2,2,1
jungle_planet,team_10,2,1,1,2
jungle_planet,team_11,0,3,3,0
jungle_planet,team_12,3,0,0,3
jungle_planet,team_13,0,3,3,0
jungle_planet,team_14,2,1,1,2
jungle_planet,team_15,2,1,1,2
jungle_planet,team_2,2,1,1,2
jungle_planet,team_3,2,1,1,2
lokix_voltturn,team_10,2,1,1,2
lokix_voltturn,team_11,2,1,1,2
lokix_voltturn,team_12,1,2,2,1
lokix_voltturn,team_13,0,3,3,0
lokix_voltturn,team_14,0,3,3,0
lokix_voltturn,team_15,2,1,1,2
lokix_voltturn,team_2,2,1,1,2
lokix_voltturn,team_3,1,2,2,1
manaphy,team_10,3,0,0,3
manaphy,team_11,2,1,1,2
manaphy,team_12,1,2,2,1
manaphy,team_13,3,0,0,3
manaphy,team_14,0,3,3,0
manaphy,team_15,1,2,2,1
manaphy,team_2,3,0,0,3
manaphy,team_3,3,0,0,3
mexican_webs,team_10,2,1,1,2
mexican_webs,team_11,1,2,2,1
mexican_webs,team_12,1,2,2,1
mexican_webs,team_13,2,1,1,2
mexican_webs,team_14,2,1,1,2
mexican_webs,team_15,2,1,1,2
mexican_webs,team_2,1,2,2,1
mexican_webs,team_3,1,2,2,1
mu_fish,team_10,2,1,1,2
mu_fish,team_11,0,3,3,0
mu_fish,team_12,0,3,3,0
mu_fish,team_13,1,2,2,1
mu_fish,team_14,2,1,1,2
mu_fish,team_15,3,0,0,3
mu_fish,team_2,1,2,2,1
mu_fish,team_3,1,2,2,1
nu_balance,team_10,0,3,3,0
nu_balance,team_11,0,3,3,0
nu_balance,team_12,1,2,2,1
nu_balance,team_13,1,2,2,1
nu_balance,team_14,0,3,3,0
nu_balance,team_15,1,2,2,1
nu_balance,team_2,1,2,2,1
nu_balance,team_3,1,2,2,1
nu_ho,team_10,1,2,2,1
nu_ho,team_11,1,2,2,1
nu_ho,team_12,2,1,1,2
nu_ho,team_13,0,3,3,0
nu_ho,team_14,0,3,3,0
nu_ho,team_15,2,1,1,2
nu_ho,team_2,1,2,2,1
nu_ho,team_3,1,2,2,1
nu_offense,team_10,0,3,3,0
nu_offense,team_11,0,3,3,0
nu_offense,team_12,0,3,3,0
nu_offense,team_13,3,0,0,3
nu_offense,team_14,0,3,3,0
nu_offense,team_15,3,0,0,3
nu_offense,team_2,0,3,3,0
nu_offense,team_3,0,3,3,0
nu_stall,team_10,0,3,3,0
nu_stall,team_11,0,3,3,0
nu_stall,team_12,0,3,3,0
nu_stall,team_13,0,3,3,0
nu_stall,team_14,0,3,3,0
nu_stall,team_15,0,3,3,0
nu_stall,team_2,0,3,3,0
nu_stall,team_3,0,3,3,0
pu_team,team_10,2,1,1,2
pu_team,team_11,0,3,3,0
pu_team,team_12,0,3,3,0
pu_team,team_13,2,1,1,2
pu_team,team_14,0,3,3,0
pu_team,team_15,2,1,1,2
pu_team,team_2,0,3,3,0
pu_team,team_3,2,1,1,2
quagsire_stall,team_10,0,3,3,0
quagsire_stall,team_11,3,0,0,3
quagsire_stall,team_12,1,2,2,1
quagsire_stall,team_13,3,0,0,3
quagsire_stall,team_14,0,3,3,0
quagsire_stall,team_15,0,3,3,0
quagsire_stall,team_2,1,2,2,1
quagsire_stall,team_3,1,2,2,1
sand,team_10,1,2,2,1
sand,team_11,2,1,1,2
sand,team_12,2,1,1,2
sand,team_13,0,3,3,0
sand,team_14,3,0,0,3
sand,team_15,2,1,1,2
sand,team_2,0,3,3,0
sand,team_3,0,3,3,0
scarf_latios,team_10,3,0,0,3
scarf_latios,team_11,2,1,1,2
scarf_latios,team_12,1,2,2,1
scarf_latios,team_13,1,2,2,1
scarf_latios,team_14,2,1,1,2
scarf_latios,team_15,2,1,1,2
scarf_latios,team_2,2,1,1,2
scarf_latios,team_3,1,2,2,1
team_0,team_10,2,1,1,2
team_0,team_11,0,3,3,0
team_0,team_12,3,0,0,3
team_0,team_13,2,1,1,2
team_0,team_14,2,1,1,2
team_0,team_15,2,1,1,2
team_0,team_2,2,1,1,2
team_0,team_3,0,3,3,0
team_1,team_10,2,1,1,2
team_1,team_11,2,1,1,2
team_1,team_12,2,1,1,2
team_1,team_13,2,1,1,2
team_1,team_14,1,2,2,1
team_1,team_15,0,3,3,0
